method,split,seed,episodes,success,shape_error,memory_error,memory_calibration_error,mechanism_macro_f1,tail_risk,damage_rate,force_clip_rate,contact_rate,diagnostic_rate,max_stretch,strain_energy
action_conditioned_memory,hard_regime,0,56,0.42857,0.14273,0.18720,0.07112,0.56250,0.57143,0.44643,0.02232,0.22709,0.83928,2.39413,1.15877
action_conditioned_memory,hard_regime,1,56,0.32143,0.13747,0.20354,0.08297,0.43750,0.67857,0.48214,0.01965,0.27351,0.85714,2.33903,1.14328
action_conditioned_memory,hard_regime,2,56,0.46428,0.13544,0.14301,0.03121,0.53125,0.53571,0.46429,0.01994,0.27410,0.89285,2.32006,1.12417
action_conditioned_memory,hard_regime,3,56,0.42857,0.14086,0.18466,0.06483,0.50000,0.57143,0.41071,0.02173,0.24583,0.87500,2.37985,1.15376
action_conditioned_memory,hard_regime,4,56,0.33929,0.14536,0.17097,0.04852,0.46875,0.66071,0.51786,0.02083,0.28988,0.89285,2.40163,1.16917
action_conditioned_memory,hard_regime,5,56,0.44643,0.13906,0.21990,0.10917,0.46875,0.55357,0.44643,0.02083,0.27887,0.87500,2.29345,1.15269
action_conditioned_memory,hard_regime,6,56,0.41071,0.13716,0.19415,0.08818,0.53125,0.58929,0.50000,0.01964,0.26875,0.83928,2.32271,1.12893
action_conditioned_memory,hard_regime,7,56,0.41071,0.14157,0.19008,0.07786,0.50000,0.58929,0.48214,0.02173,0.24167,0.83929,2.39601,1.17500
action_conditioned_memory_v5,hard_regime,0,56,0.39286,0.14632,0.20182,0.04949,0.50000,0.60714,0.21429,0.01845,0.08541,0.00000,2.24200,1.04453
action_conditioned_memory_v5,hard_regime,1,56,0.44643,0.14466,0.20829,0.05737,0.54167,0.55357,0.23214,0.02173,0.05685,0.00000,2.25362,1.13301
action_conditioned_memory_v5,hard_regime,2,56,0.51786,0.14109,0.14905,0.00938,0.56250,0.48214,0.19643,0.01786,0.08303,0.00000,2.15947,1.09164
action_conditioned_memory_v5,hard_regime,3,56,0.42857,0.14489,0.19606,0.04642,0.50000,0.57143,0.23214,0.02054,0.09553,0.00000,2.24628,1.10454
action_conditioned_memory_v5,hard_regime,4,56,0.37500,0.14685,0.18316,0.02812,0.50000,0.62500,0.30357,0.02143,0.11518,0.00000,2.28785,1.10692
action_conditioned_memory_v5,hard_regime,5,56,0.39285,0.14173,0.22944,0.09229,0.46875,0.60715,0.23214,0.01935,0.10804,0.00000,2.22225,1.09058
action_conditioned_memory_v5,hard_regime,6,56,0.50000,0.13964,0.20418,0.06518,0.46875,0.50000,0.28571,0.01994,0.12083,0.00000,2.27237,1.09505
action_conditioned_memory_v5,hard_regime,7,56,0.42857,0.14356,0.20104,0.05937,0.46875,0.57143,0.30357,0.02113,0.11994,0.00000,2.31758,1.12021
damage_aware_visible_mpc,hard_regime,0,56,0.48214,0.14670,0.42900,0.09882,0.50000,0.51786,0.21429,0.02559,0.05238,0.00000,2.38447,1.20988
damage_aware_visible_mpc,hard_regime,1,56,0.55357,0.14099,0.44212,0.11925,0.56250,0.44643,0.21429,0.02381,0.03155,0.00000,2.33376,1.19124
damage_aware_visible_mpc,hard_regime,2,56,0.66072,0.13906,0.43733,0.10319,0.50000,0.33928,0.17857,0.02262,0.05387,0.00000,2.29806,1.19014
damage_aware_visible_mpc,hard_regime,3,56,0.51786,0.14315,0.44101,0.10538,0.46875,0.48214,0.25000,0.02470,0.06666,0.00000,2.38595,1.20259
damage_aware_visible_mpc,hard_regime,4,56,0.46429,0.14730,0.44563,0.10768,0.53125,0.53571,0.28571,0.02560,0.06250,0.00000,2.39420,1.19951
damage_aware_visible_mpc,hard_regime,5,56,0.50000,0.13973,0.43081,0.09484,0.50000,0.50000,0.21429,0.02262,0.07500,0.00000,2.33313,1.18427
damage_aware_visible_mpc,hard_regime,6,56,0.57143,0.13901,0.43927,0.11192,0.50000,0.42857,0.23214,0.02351,0.05089,0.00000,2.34318,1.18708
damage_aware_visible_mpc,hard_regime,7,56,0.55357,0.14422,0.42637,0.09449,0.56250,0.44643,0.23214,0.02619,0.03065,0.00000,2.40887,1.23362
ensemble_uncertainty_planner,hard_regime,0,56,0.41071,0.14262,0.17671,0.09369,0.53125,0.58929,0.46429,0.02173,0.24762,0.87500,2.39376,1.15213
ensemble_uncertainty_planner,hard_regime,1,56,0.35714,0.13765,0.19884,0.11517,0.46875,0.64286,0.44643,0.01994,0.25298,0.83928,2.32743,1.14985
ensemble_uncertainty_planner,hard_regime,2,56,0.44643,0.13485,0.14388,0.06276,0.53125,0.55357,0.48214,0.01994,0.28720,0.89285,2.32089,1.12465
ensemble_uncertainty_planner,hard_regime,3,56,0.41071,0.14034,0.18985,0.10614,0.53125,0.58929,0.44643,0.02173,0.26786,0.91071,2.36923,1.14601
ensemble_uncertainty_planner,hard_regime,4,56,0.33929,0.14478,0.15982,0.07630,0.46875,0.66071,0.51786,0.02113,0.27708,0.87500,2.40248,1.16823
ensemble_uncertainty_planner,hard_regime,5,56,0.46429,0.13839,0.21357,0.13087,0.50000,0.53571,0.44643,0.02083,0.26816,0.87500,2.31243,1.15665
ensemble_uncertainty_planner,hard_regime,6,56,0.37500,0.13732,0.18478,0.10456,0.50000,0.62500,0.53571,0.01935,0.27768,0.85714,2.30150,1.12100
ensemble_uncertainty_planner,hard_regime,7,56,0.41071,0.14171,0.17726,0.09520,0.46875,0.58929,0.44643,0.02173,0.22708,0.82143,2.39967,1.18355
graph_dynamics_baseline,hard_regime,0,56,0.39286,0.14722,0.40449,0.11655,0.53125,0.60715,0.23215,0.01935,0.08512,0.00000,2.29782,1.09930
graph_dynamics_baseline,hard_regime,1,56,0.46429,0.14351,0.40286,0.11942,0.56250,0.53571,0.17857,0.02024,0.03750,0.00000,2.21700,1.10337
graph_dynamics_baseline,hard_regime,2,56,0.55357,0.14175,0.32412,0.08421,0.46875,0.44643,0.23214,0.01935,0.09553,0.00000,2.21422,1.10893
graph_dynamics_baseline,hard_regime,3,56,0.42857,0.14331,0.38669,0.10537,0.46875,0.57143,0.28571,0.02024,0.10834,0.00000,2.30072,1.10217
graph_dynamics_baseline,hard_regime,4,56,0.44643,0.14624,0.39983,0.11271,0.46875,0.55357,0.28571,0.02202,0.08006,0.00000,2.33338,1.11516
graph_dynamics_baseline,hard_regime,5,56,0.46429,0.13967,0.37007,0.09774,0.51042,0.53571,0.21429,0.01756,0.10089,0.00000,2.24333,1.05741
graph_dynamics_baseline,hard_regime,6,56,0.50000,0.13823,0.40462,0.12724,0.50000,0.50000,0.23214,0.01875,0.09137,0.00000,2.24754,1.08649
graph_dynamics_baseline,hard_regime,7,56,0.44643,0.14286,0.37571,0.10197,0.46875,0.55357,0.28571,0.01935,0.10625,0.00000,2.28756,1.09275
history_rnn_estimator,hard_regime,0,56,0.42857,0.14294,0.17122,0.11370,0.56250,0.57143,0.44643,0.02173,0.23720,0.85714,2.39075,1.15793
history_rnn_estimator,hard_regime,1,56,0.39285,0.13833,0.19952,0.07979,0.43750,0.60714,0.41071,0.01994,0.23601,0.83928,2.32744,1.14725
history_rnn_estimator,hard_regime,2,56,0.44643,0.13485,0.14006,0.13702,0.53125,0.55357,0.48214,0.01965,0.29375,0.92857,2.31982,1.12304
history_rnn_estimator,hard_regime,3,56,0.41071,0.14033,0.17601,0.10064,0.53125,0.58929,0.44643,0.02143,0.27083,0.94643,2.36975,1.14281
history_rnn_estimator,hard_regime,4,56,0.33929,0.14514,0.16369,0.12020,0.46875,0.66071,0.48214,0.02143,0.25417,0.82143,2.40410,1.18095
history_rnn_estimator,hard_regime,5,56,0.44643,0.13937,0.21117,0.05425,0.50000,0.55357,0.46429,0.02143,0.28423,0.87500,2.29352,1.15119
history_rnn_estimator,hard_regime,6,56,0.41071,0.13756,0.18702,0.09752,0.50000,0.58929,0.50000,0.01994,0.25833,0.80357,2.31236,1.12914
history_rnn_estimator,hard_regime,7,56,0.44643,0.14118,0.17834,0.09304,0.46875,0.55357,0.44643,0.02262,0.21964,0.78571,2.40546,1.18743
oracle_latent_state,hard_regime,0,56,0.91071,0.12995,0.00000,0.00000,1.00000,0.08929,0.01786,0.01191,0.06309,0.01786,2.17000,0.96403
oracle_latent_state,hard_regime,1,56,0.92857,0.12461,0.00000,0.00000,1.00000,0.07143,0.00000,0.00982,0.05357,0.00000,2.09679,0.92601
oracle_latent_state,hard_regime,2,56,0.89286,0.12262,0.00000,0.00000,1.00000,0.10714,0.03571,0.01191,0.08066,0.00000,2.04796,0.94321
oracle_latent_state,hard_regime,3,56,0.85714,0.12781,0.00000,0.00000,1.00000,0.14286,0.05357,0.01131,0.06786,0.00000,2.13095,0.96986
oracle_latent_state,hard_regime,4,56,0.80357,0.13223,0.00000,0.00000,1.00000,0.19643,0.05357,0.01280,0.06458,0.03571,2.15564,0.95737
oracle_latent_state,hard_regime,5,56,0.82143,0.12621,0.00000,0.00000,1.00000,0.17857,0.03571,0.01041,0.10297,0.01786,2.11254,0.93565
oracle_latent_state,hard_regime,6,56,0.85714,0.12698,0.00000,0.00000,1.00000,0.14286,0.00000,0.01042,0.04018,0.00000,2.11311,0.95781
oracle_latent_state,hard_regime,7,56,0.85714,0.12972,0.00000,0.00000,1.00000,0.14286,0.01786,0.01280,0.04346,0.00000,2.18259,0.99167
particle_filter_memory,hard_regime,0,56,0.39286,0.14284,0.17122,0.17339,0.56250,0.60714,0.48214,0.02143,0.26994,0.98214,2.38962,1.14909
particle_filter_memory,hard_regime,1,56,0.33929,0.13653,0.19952,0.13082,0.53125,0.66072,0.50000,0.01994,0.32619,0.96429,2.32700,1.11950
particle_filter_memory,hard_regime,2,56,0.44643,0.13478,0.14006,0.18443,0.53125,0.55357,0.48214,0.01965,0.27857,0.91071,2.31810,1.12635
particle_filter_memory,hard_regime,3,56,0.42857,0.14076,0.17601,0.14941,0.56250,0.57143,0.44643,0.02173,0.25030,0.89286,2.38140,1.15282
particle_filter_memory,hard_regime,4,56,0.33929,0.14516,0.16369,0.17913,0.56250,0.66071,0.55357,0.02024,0.31547,0.96429,2.39562,1.16203
particle_filter_memory,hard_regime,5,56,0.39285,0.13884,0.21117,0.08500,0.50000,0.60715,0.51786,0.02024,0.31071,0.94643,2.29530,1.14908
particle_filter_memory,hard_regime,6,56,0.33929,0.13653,0.18702,0.15855,0.56250,0.66071,0.57143,0.01875,0.32917,0.94643,2.30568,1.12118
particle_filter_memory,hard_regime,7,56,0.41072,0.14191,0.17834,0.13175,0.50000,0.58928,0.48214,0.02084,0.24613,0.89286,2.39093,1.16785
robust_cem_surrogate,hard_regime,0,56,0.41071,0.14515,0.22036,0.06400,0.46875,0.58928,0.33928,0.02321,0.15417,0.50000,2.36496,1.17782
robust_cem_surrogate,hard_regime,1,56,0.39286,0.14291,0.21917,0.06484,0.46875,0.60715,0.32143,0.02143,0.14762,0.50000,2.28887,1.17062
robust_cem_surrogate,hard_regime,2,56,0.42857,0.14122,0.15794,0.00869,0.53125,0.57143,0.35714,0.02083,0.17411,0.57143,2.26234,1.12781
robust_cem_surrogate,hard_regime,3,56,0.41071,0.14474,0.21047,0.05757,0.50000,0.58928,0.32143,0.02232,0.16667,0.57143,2.33743,1.15787
robust_cem_surrogate,hard_regime,4,56,0.35714,0.14805,0.20007,0.04132,0.46875,0.64286,0.39286,0.02232,0.18304,0.53572,2.39516,1.19836
robust_cem_surrogate,hard_regime,5,56,0.39286,0.14301,0.24152,0.10151,0.50000,0.60715,0.37500,0.02173,0.18750,0.42857,2.27005,1.16691
robust_cem_surrogate,hard_regime,6,56,0.50000,0.13905,0.21765,0.06499,0.43750,0.50000,0.32143,0.02262,0.13036,0.39286,2.29653,1.16185
robust_cem_surrogate,hard_regime,7,56,0.46429,0.14378,0.21543,0.07054,0.46875,0.53571,0.35714,0.02470,0.13690,0.46429,2.37973,1.20695
safety_constrained_particle_filter,hard_regime,0,56,0.41071,0.14654,0.22105,0.05156,0.50000,0.58929,0.28571,0.02381,0.10893,0.10714,2.35663,1.15955
safety_constrained_particle_filter,hard_regime,1,56,0.42857,0.14293,0.21651,0.03875,0.47917,0.57143,0.26786,0.02322,0.06280,0.14286,2.27179,1.14716
safety_constrained_particle_filter,hard_regime,2,56,0.50000,0.14214,0.15820,0.08724,0.46875,0.50000,0.23214,0.02083,0.10774,0.19643,2.21748,1.12051
safety_constrained_particle_filter,hard_regime,3,56,0.44643,0.14520,0.21096,0.03612,0.50000,0.55357,0.28571,0.02411,0.10416,0.16071,2.31639,1.15419
safety_constrained_particle_filter,hard_regime,4,56,0.35714,0.14757,0.19974,0.06081,0.50000,0.64286,0.33928,0.02440,0.11369,0.16071,2.34403,1.17994
safety_constrained_particle_filter,hard_regime,5,56,0.41071,0.14150,0.24169,0.03235,0.46875,0.58929,0.26786,0.02113,0.12441,0.16071,2.26160,1.16058
safety_constrained_particle_filter,hard_regime,6,56,0.48214,0.13941,0.21790,0.05102,0.43750,0.51786,0.26786,0.02173,0.09107,0.10714,2.28836,1.14299
safety_constrained_particle_filter,hard_regime,7,56,0.48214,0.14320,0.21542,0.02919,0.50000,0.51786,0.25000,0.02322,0.09196,0.12500,2.33281,1.16962
visible_state_mpc,hard_regime,0,56,0.48214,0.14670,0.42900,0.09882,0.50000,0.51786,0.21429,0.02559,0.05238,0.00000,2.38447,1.20988
visible_state_mpc,hard_regime,1,56,0.55357,0.14099,0.44212,0.11925,0.56250,0.44643,0.21429,0.02381,0.03155,0.00000,2.33376,1.19124
visible_state_mpc,hard_regime,2,56,0.66072,0.13906,0.43733,0.10319,0.50000,0.33928,0.17857,0.02262,0.05387,0.00000,2.29806,1.19014
visible_state_mpc,hard_regime,3,56,0.51786,0.14315,0.44101,0.10538,0.46875,0.48214,0.25000,0.02470,0.06666,0.00000,2.38595,1.20259
visible_state_mpc,hard_regime,4,56,0.46429,0.14730,0.44563,0.10768,0.53125,0.53571,0.28571,0.02560,0.06250,0.00000,2.39420,1.19951
visible_state_mpc,hard_regime,5,56,0.50000,0.13973,0.43081,0.09484,0.50000,0.50000,0.21429,0.02262,0.07500,0.00000,2.33313,1.18427
visible_state_mpc,hard_regime,6,56,0.57143,0.13901,0.43927,0.11192,0.50000,0.42857,0.23214,0.02351,0.05089,0.00000,2.34318,1.18708
visible_state_mpc,hard_regime,7,56,0.55357,0.14422,0.42637,0.09449,0.56250,0.44643,0.23214,0.02619,0.03065,0.00000,2.40887,1.23362
