split,risk_budget,reference,comparison,paired_success_diff,ci95_success_diff,paired_memory_error_reduction,paired_calibration_error_reduction,paired_mechanism_f1_diff,paired_damage_reduction,reference_better_seeds,seeds
combined_memory_stress,0.10,action_conditioned_memory_v5,action_conditioned_memory,0.07812,0.09187,-0.02495,0.01796,-0.01562,0.07812,3,8
combined_memory_stress,0.10,action_conditioned_memory_v5,damage_aware_visible_mpc,0.00000,0.04630,0.34313,0.13225,0.03125,0.01562,1,8
combined_memory_stress,0.10,action_conditioned_memory_v5,ensemble_uncertainty_planner,0.09375,0.10091,-0.05377,0.02674,-0.04688,0.07812,5,8
combined_memory_stress,0.10,action_conditioned_memory_v5,oracle_latent_state,-0.20312,0.07936,-0.24149,-0.07682,-0.43750,-0.10938,0,8
combined_memory_stress,0.10,action_conditioned_memory_v5,particle_filter_memory,0.18750,0.08020,-0.05602,0.11379,0.10938,0.20312,7,8
combined_memory_stress,0.10,action_conditioned_memory_v5,robust_cem_surrogate,0.03125,0.06125,0.02555,0.02082,0.01562,0.04688,1,8
combined_memory_stress,0.10,action_conditioned_memory_v5,safety_constrained_particle_filter,0.07812,0.09187,0.02488,-0.03958,0.03125,0.07812,3,8
combined_memory_stress,0.10,action_conditioned_memory_v5,visible_state_mpc,0.00000,0.04630,0.34313,0.13225,0.03125,0.01562,1,8
combined_memory_stress,0.20,action_conditioned_memory_v5,action_conditioned_memory,0.31250,0.17932,-0.02495,0.01796,0.04688,0.46875,7,8
combined_memory_stress,0.20,action_conditioned_memory_v5,damage_aware_visible_mpc,0.00000,0.04630,0.34313,0.13225,0.03125,0.01562,1,8
combined_memory_stress,0.20,action_conditioned_memory_v5,ensemble_uncertainty_planner,0.29688,0.17285,-0.05377,0.02674,0.04688,0.45312,7,8
combined_memory_stress,0.20,action_conditioned_memory_v5,oracle_latent_state,-0.20312,0.07936,-0.24149,-0.07682,-0.43750,-0.10938,0,8
combined_memory_stress,0.20,action_conditioned_memory_v5,particle_filter_memory,0.31250,0.17932,-0.05602,0.11379,0.04688,0.46875,7,8
combined_memory_stress,0.20,action_conditioned_memory_v5,robust_cem_surrogate,0.18750,0.13096,0.02555,0.02082,0.07812,0.29688,6,8
combined_memory_stress,0.20,action_conditioned_memory_v5,safety_constrained_particle_filter,0.09375,0.11103,0.02488,-0.03958,0.10938,0.14062,4,8
combined_memory_stress,0.20,action_conditioned_memory_v5,visible_state_mpc,0.00000,0.04630,0.34313,0.13225,0.03125,0.01562,1,8
combined_memory_stress,0.30,action_conditioned_memory_v5,action_conditioned_memory,0.31250,0.17932,-0.02495,0.01796,0.04688,0.46875,7,8
combined_memory_stress,0.30,action_conditioned_memory_v5,damage_aware_visible_mpc,0.00000,0.04630,0.34313,0.13225,0.03125,0.01562,1,8
combined_memory_stress,0.30,action_conditioned_memory_v5,ensemble_uncertainty_planner,0.29688,0.17285,-0.05377,0.02674,0.04688,0.45312,7,8
combined_memory_stress,0.30,action_conditioned_memory_v5,oracle_latent_state,-0.20312,0.07936,-0.24149,-0.07682,-0.43750,-0.10938,0,8
combined_memory_stress,0.30,action_conditioned_memory_v5,particle_filter_memory,0.31250,0.17932,-0.05602,0.11379,0.04688,0.46875,7,8
combined_memory_stress,0.30,action_conditioned_memory_v5,robust_cem_surrogate,0.18750,0.13096,0.02555,0.02082,0.07812,0.29688,6,8
combined_memory_stress,0.30,action_conditioned_memory_v5,safety_constrained_particle_filter,0.09375,0.11103,0.02488,-0.03958,0.10938,0.14062,4,8
combined_memory_stress,0.30,action_conditioned_memory_v5,visible_state_mpc,0.00000,0.04630,0.34313,0.13225,0.03125,0.01562,1,8
combined_memory_stress,0.40,action_conditioned_memory_v5,action_conditioned_memory,0.31250,0.17932,-0.02495,0.01796,0.04688,0.46875,7,8
combined_memory_stress,0.40,action_conditioned_memory_v5,damage_aware_visible_mpc,0.00000,0.04630,0.34313,0.13225,0.03125,0.01562,1,8
combined_memory_stress,0.40,action_conditioned_memory_v5,ensemble_uncertainty_planner,0.29688,0.17285,-0.05377,0.02674,0.04688,0.45312,7,8
combined_memory_stress,0.40,action_conditioned_memory_v5,oracle_latent_state,-0.20312,0.07936,-0.24149,-0.07682,-0.43750,-0.10938,0,8
combined_memory_stress,0.40,action_conditioned_memory_v5,particle_filter_memory,0.31250,0.17932,-0.05602,0.11379,0.04688,0.46875,7,8
combined_memory_stress,0.40,action_conditioned_memory_v5,robust_cem_surrogate,0.18750,0.13096,0.02555,0.02082,0.07812,0.29688,6,8
combined_memory_stress,0.40,action_conditioned_memory_v5,safety_constrained_particle_filter,0.09375,0.11103,0.02488,-0.03958,0.10938,0.14062,4,8
combined_memory_stress,0.40,action_conditioned_memory_v5,visible_state_mpc,0.00000,0.04630,0.34313,0.13225,0.03125,0.01562,1,8
hidden_strain_memory,0.10,action_conditioned_memory_v5,action_conditioned_memory,0.00000,0.04630,-0.01441,0.01845,0.01562,0.03125,1,8
hidden_strain_memory,0.10,action_conditioned_memory_v5,damage_aware_visible_mpc,-0.06250,0.04630,0.27391,0.05731,0.06250,0.09375,0,8
hidden_strain_memory,0.10,action_conditioned_memory_v5,ensemble_uncertainty_planner,0.01562,0.07229,-0.03434,0.02813,-0.01562,0.01562,1,8
hidden_strain_memory,0.10,action_conditioned_memory_v5,oracle_latent_state,-0.42188,0.09187,-0.20011,-0.05705,-0.32812,-0.15625,0,8
hidden_strain_memory,0.10,action_conditioned_memory_v5,particle_filter_memory,0.00000,0.04630,-0.03313,0.09704,0.07812,0.09375,1,8
hidden_strain_memory,0.10,action_conditioned_memory_v5,robust_cem_surrogate,-0.03125,0.06125,0.01761,0.01392,0.03125,0.01562,0,8
hidden_strain_memory,0.10,action_conditioned_memory_v5,safety_constrained_particle_filter,-0.01562,0.03062,0.01845,-0.01671,0.06250,0.06250,0,8
hidden_strain_memory,0.10,action_conditioned_memory_v5,visible_state_mpc,-0.06250,0.04630,0.27391,0.05731,0.06250,0.09375,0,8
hidden_strain_memory,0.20,action_conditioned_memory_v5,action_conditioned_memory,0.01562,0.10797,-0.01441,0.01845,0.01562,0.25000,1,8
hidden_strain_memory,0.20,action_conditioned_memory_v5,damage_aware_visible_mpc,-0.06250,0.04630,0.27391,0.05731,0.06250,0.09375,0,8
hidden_strain_memory,0.20,action_conditioned_memory_v5,ensemble_uncertainty_planner,0.01562,0.10797,-0.03434,0.02813,0.01562,0.25000,1,8
hidden_strain_memory,0.20,action_conditioned_memory_v5,oracle_latent_state,-0.42188,0.09187,-0.20011,-0.05705,-0.32812,-0.15625,0,8
hidden_strain_memory,0.20,action_conditioned_memory_v5,particle_filter_memory,0.03125,0.11103,-0.03313,0.09704,0.03125,0.26562,2,8
hidden_strain_memory,0.20,action_conditioned_memory_v5,robust_cem_surrogate,0.00000,0.10353,0.01761,0.01392,0.00000,0.18750,2,8
hidden_strain_memory,0.20,action_conditioned_memory_v5,safety_constrained_particle_filter,-0.01562,0.03062,0.01845,-0.01671,0.06250,0.06250,0,8
hidden_strain_memory,0.20,action_conditioned_memory_v5,visible_state_mpc,-0.06250,0.04630,0.27391,0.05731,0.06250,0.09375,0,8
hidden_strain_memory,0.30,action_conditioned_memory_v5,action_conditioned_memory,0.01562,0.10797,-0.01441,0.01845,0.01562,0.25000,1,8
hidden_strain_memory,0.30,action_conditioned_memory_v5,damage_aware_visible_mpc,-0.06250,0.04630,0.27391,0.05731,0.06250,0.09375,0,8
hidden_strain_memory,0.30,action_conditioned_memory_v5,ensemble_uncertainty_planner,0.01562,0.10797,-0.03434,0.02813,0.01562,0.25000,1,8
hidden_strain_memory,0.30,action_conditioned_memory_v5,oracle_latent_state,-0.42188,0.09187,-0.20011,-0.05705,-0.32812,-0.15625,0,8
hidden_strain_memory,0.30,action_conditioned_memory_v5,particle_filter_memory,0.03125,0.11103,-0.03313,0.09704,0.03125,0.26562,2,8
hidden_strain_memory,0.30,action_conditioned_memory_v5,robust_cem_surrogate,0.00000,0.10353,0.01761,0.01392,0.00000,0.18750,2,8
hidden_strain_memory,0.30,action_conditioned_memory_v5,safety_constrained_particle_filter,-0.01562,0.03062,0.01845,-0.01671,0.06250,0.06250,0,8
hidden_strain_memory,0.30,action_conditioned_memory_v5,visible_state_mpc,-0.06250,0.04630,0.27391,0.05731,0.06250,0.09375,0,8
hidden_strain_memory,0.40,action_conditioned_memory_v5,action_conditioned_memory,0.01562,0.10797,-0.01441,0.01845,0.01562,0.25000,1,8
hidden_strain_memory,0.40,action_conditioned_memory_v5,damage_aware_visible_mpc,-0.06250,0.04630,0.27391,0.05731,0.06250,0.09375,0,8
hidden_strain_memory,0.40,action_conditioned_memory_v5,ensemble_uncertainty_planner,0.01562,0.10797,-0.03434,0.02813,0.01562,0.25000,1,8
hidden_strain_memory,0.40,action_conditioned_memory_v5,oracle_latent_state,-0.42188,0.09187,-0.20011,-0.05705,-0.32812,-0.15625,0,8
hidden_strain_memory,0.40,action_conditioned_memory_v5,particle_filter_memory,0.03125,0.11103,-0.03313,0.09704,0.03125,0.26562,2,8
hidden_strain_memory,0.40,action_conditioned_memory_v5,robust_cem_surrogate,0.00000,0.10353,0.01761,0.01392,0.00000,0.18750,2,8
hidden_strain_memory,0.40,action_conditioned_memory_v5,safety_constrained_particle_filter,-0.01562,0.03062,0.01845,-0.01671,0.06250,0.06250,0,8
hidden_strain_memory,0.40,action_conditioned_memory_v5,visible_state_mpc,-0.06250,0.04630,0.27391,0.05731,0.06250,0.09375,0,8
occluded_contact_memory,0.10,action_conditioned_memory_v5,action_conditioned_memory,0.00000,0.04630,-0.01474,0.01677,0.00000,-0.01562,1,8
occluded_contact_memory,0.10,action_conditioned_memory_v5,damage_aware_visible_mpc,-0.10938,0.05551,0.20634,-0.01420,0.03125,0.01562,0,8
occluded_contact_memory,0.10,action_conditioned_memory_v5,ensemble_uncertainty_planner,0.01562,0.05551,-0.02149,0.03545,-0.03125,-0.04688,2,8
occluded_contact_memory,0.10,action_conditioned_memory_v5,oracle_latent_state,-0.48438,0.09753,-0.18337,-0.03967,-0.48438,-0.28125,0,8
occluded_contact_memory,0.10,action_conditioned_memory_v5,particle_filter_memory,-0.01562,0.03062,-0.02884,0.13679,0.03125,0.04688,0,8
occluded_contact_memory,0.10,action_conditioned_memory_v5,robust_cem_surrogate,-0.01562,0.03062,0.01819,0.00986,0.01562,0.00000,0,8
occluded_contact_memory,0.10,action_conditioned_memory_v5,safety_constrained_particle_filter,-0.01562,0.03062,0.01808,0.01188,0.04688,0.01562,0,8
occluded_contact_memory,0.10,action_conditioned_memory_v5,visible_state_mpc,-0.10938,0.05551,0.20634,-0.01420,0.03125,0.01562,0,8
occluded_contact_memory,0.20,action_conditioned_memory_v5,action_conditioned_memory,0.04688,0.11282,-0.01474,0.01677,0.01562,0.23438,3,8
occluded_contact_memory,0.20,action_conditioned_memory_v5,damage_aware_visible_mpc,-0.10938,0.05551,0.20634,-0.01420,0.03125,0.01562,0,8
occluded_contact_memory,0.20,action_conditioned_memory_v5,ensemble_uncertainty_planner,0.04688,0.11282,-0.02149,0.03545,0.04688,0.23438,3,8
occluded_contact_memory,0.20,action_conditioned_memory_v5,oracle_latent_state,-0.48438,0.09753,-0.18337,-0.03967,-0.48438,-0.28125,0,8
occluded_contact_memory,0.20,action_conditioned_memory_v5,particle_filter_memory,0.03125,0.13696,-0.02884,0.13679,0.00000,0.23438,3,8
occluded_contact_memory,0.20,action_conditioned_memory_v5,robust_cem_surrogate,0.00000,0.12250,0.01819,0.00986,0.04688,0.10938,3,8
occluded_contact_memory,0.20,action_conditioned_memory_v5,safety_constrained_particle_filter,-0.01562,0.03062,0.01808,0.01188,0.04688,0.01562,0,8
occluded_contact_memory,0.20,action_conditioned_memory_v5,visible_state_mpc,-0.10938,0.05551,0.20634,-0.01420,0.03125,0.01562,0,8
occluded_contact_memory,0.30,action_conditioned_memory_v5,action_conditioned_memory,0.04688,0.11282,-0.01474,0.01677,0.01562,0.23438,3,8
occluded_contact_memory,0.30,action_conditioned_memory_v5,damage_aware_visible_mpc,-0.10938,0.05551,0.20634,-0.01420,0.03125,0.01562,0,8
occluded_contact_memory,0.30,action_conditioned_memory_v5,ensemble_uncertainty_planner,0.04688,0.11282,-0.02149,0.03545,0.04688,0.23438,3,8
occluded_contact_memory,0.30,action_conditioned_memory_v5,oracle_latent_state,-0.48438,0.09753,-0.18337,-0.03967,-0.48438,-0.28125,0,8
occluded_contact_memory,0.30,action_conditioned_memory_v5,particle_filter_memory,0.03125,0.13696,-0.02884,0.13679,0.00000,0.23438,3,8
occluded_contact_memory,0.30,action_conditioned_memory_v5,robust_cem_surrogate,0.00000,0.12250,0.01819,0.00986,0.04688,0.10938,3,8
occluded_contact_memory,0.30,action_conditioned_memory_v5,safety_constrained_particle_filter,-0.01562,0.03062,0.01808,0.01188,0.04688,0.01562,0,8
occluded_contact_memory,0.30,action_conditioned_memory_v5,visible_state_mpc,-0.10938,0.05551,0.20634,-0.01420,0.03125,0.01562,0,8
occluded_contact_memory,0.40,action_conditioned_memory_v5,action_conditioned_memory,0.04688,0.11282,-0.01474,0.01677,0.01562,0.23438,3,8
occluded_contact_memory,0.40,action_conditioned_memory_v5,damage_aware_visible_mpc,-0.10938,0.05551,0.20634,-0.01420,0.03125,0.01562,0,8
occluded_contact_memory,0.40,action_conditioned_memory_v5,ensemble_uncertainty_planner,0.04688,0.11282,-0.02149,0.03545,0.04688,0.23438,3,8
occluded_contact_memory,0.40,action_conditioned_memory_v5,oracle_latent_state,-0.48438,0.09753,-0.18337,-0.03967,-0.48438,-0.28125,0,8
occluded_contact_memory,0.40,action_conditioned_memory_v5,particle_filter_memory,0.03125,0.13696,-0.02884,0.13679,0.00000,0.23438,3,8
occluded_contact_memory,0.40,action_conditioned_memory_v5,robust_cem_surrogate,0.00000,0.12250,0.01819,0.00986,0.04688,0.10938,3,8
occluded_contact_memory,0.40,action_conditioned_memory_v5,safety_constrained_particle_filter,-0.01562,0.03062,0.01808,0.01188,0.04688,0.01562,0,8
occluded_contact_memory,0.40,action_conditioned_memory_v5,visible_state_mpc,-0.10938,0.05551,0.20634,-0.01420,0.03125,0.01562,0,8
